year,country_name,gdp_growth,gdp_usd,military_spendings_growth,military_spendings_usd,energy_use,gni_growth,gni_usd,national_income_growth,national_income_usd
1969,India,6.54,58447995016.85,3.14,1691433333.33,,6.57,58086661683.52,,
1969,Mexico,3.42,32480000000.00,0.60,180000000.00,,3.32,31985424000.00,,
1969,South Africa,4.72,16780393294.89,2.61,425599829.76,,4.57,16181193534.32,,
1969,China,16.94,79705906247.46,,,,,79705906247.46,,
1969,World,5.83,2736896297380.92,5.58,,,,2755433573036.80,,
1970,Germany,,215838448137.66,3.01,5805254072.21,3860.86,,216937427456.85,,1.8749E+11
1970,France,6.11,148456359985.83,3.46,4941059320.50,2951.48,,149052793197.12,,1.30938E+11
1970,Italy,5.27,113395315985.13,2.06,2216771793.08,2026.22,,114365120817.84,,1.01574E+11
1970,Japan,2.51,212609187919.44,0.77,1575347222.22,2480.75,,212376104144.44,,1.7451E+11
1970,Canada,,87896095320.13,2.19,1889157917.91,6476.39,,86905583309.41,,73406920842
1970,Russian Federation,,,,,,,,,
1970,United States,-0.35,1073303000000.00,8.03,83407993004.89,7569.08,,1074359000000.00,,9.33339E+11
1970,United Kingdom,6.32,130671946244.30,5.20,6792098923.78,3684.95,,141662522198.22,,1.25424E+11
1970,Brazil,10.40,42327664793.69,2.89,1026234373.82,,,41728566935.83,,38799440793
1970,India,5.16,62422483054.52,3.19,1832966666.67,,5.18,62043816387.85,,57839603345
1970,Mexico,6.50,35520000000.00,0.50,176800000.00,,6.28,34897440000.00,,31766288641
1970,South Africa,5.25,18418392640.38,2.33,417899832.84,,5.25,17754792905.54,,
1970,China,19.30,92602973434.07,,,,,92602973434.07,,84669408025
1970,World,3.92,2992438432818.81,4.97,,,,3004232267035.96,,2.55712E+12
1971,Germany,3.13,249985055484.30,3.06,6829977561.04,3895.26,3.06,250910911169.35,3.20,2.15949E+11
1971,France,5.32,165966615366.40,3.32,5291990761.22,3027.82,,166781105718.01,5.24,1.46079E+11
1971,Italy,1.82,124672365792.76,2.24,2648079366.02,1949.15,1.85,125758345817.73,2.12,1.11808E+11
1971,Japan,4.70,240151807460.24,0.82,1896540415.99,2531.09,4.77,240076249154.14,5.65,1.96445E+11
1971,Canada,,99271961774.61,2.13,2077659711.43,6436.23,,98159003763.12,4.88,83214311717
1971,Russian Federation,,,,,,,,,
1971,United States,3.29,1164850000000.00,6.94,78237979893.08,7644.52,3.35,1162926000000.00,2.66,1.00954E+12
1971,United Kingdom,3.50,148113896325.14,5.08,7518385128.20,3733.28,3.43,159914149428.09,1.64,1.40857E+11
1971,Brazil,11.34,48869830901.79,2.62,1075071452.92,715.84,11.74,48684157318.57,11.87,45244303462
1971,India,1.64,67350988020.90,3.65,2255256982.84,267.35,1.67,66959943084.33,1.41,62325777359
1971,Mexico,3.76,39200000000.00,0.49,191200000.00,809.64,3.71,38495400000.00,4.07,35149262001
1971,South Africa,4.28,20333691315.96,2.46,485866527.22,2004.34,4.65,19677946199.61,,17069819566
1971,China,7.06,99800958648.14,,,464.93,,99800958648.14,,91884402364
1971,World,4.29,3305488181723.13,4.49,,1337.61,,3316130226200.62,,2.82047E+12
1972,Germany,4.30,299801542047.48,3.17,8478070553.99,4017.34,4.21,300633615285.53,4.30,2.58298E+11
1972,France,4.51,203494148244.47,3.23,6326060061.39,3170.75,4.42,204302990897.27,4.39,1.78425E+11
1972,Italy,3.69,145260039840.64,2.39,3289362465.02,2050.74,3.75,146590056440.90,3.93,1.30282E+11
1972,Japan,8.41,318031297492.35,0.84,2567519427.92,2667.05,8.56,318385211551.18,7.90,2.5943E+11
1972,Canada,,113082820486.92,2.01,2233737030.69,6863.44,,111973127588.65,6.56,95366927249
1972,Russian Federation,,,,,,,,,
1972,United States,5.26,1279110000000.00,6.52,80708070966.49,7941.00,5.28,1280507000000.00,5.55,1.11397E+12
1972,United Kingdom,4.32,169965034965.04,5.17,8789192636.74,3747.96,4.21,183406316183.82,3.70,1.60885E+11
1972,Brazil,11.94,58434858374.87,2.44,1195501487.56,749.01,12.23,58075347258.61,12.67,53813384466
